Airline	Flight No	Date	Scheduled	Estimated	Gate	Arrival	Location	Status	Detail
TK 1077	TK 1077	23/09/2026	18:40	18:40		TIRANE (TIA)	International	Scheduled	 Detail
TK 11	TK 11	23/09/2026	18:40	18:40		NEW YORK (JFK)	International	Scheduled	 Detail
TK 1465	TK 1465	23/09/2026	18:40	18:40		APULIA (BRI)	International	Scheduled	 Detail
TK 564	TK 564	23/09/2026	18:40	18:40		ARUSHA (JRO)	International	Scheduled	 Detail
TK 606	TK 606	23/09/2026	18:40	18:40		KIGALI (KGL)	International	Scheduled	 Detail
TK 730	TK 730	23/09/2026	18:40	18:40		CMB (CMB)	International	Scheduled	 Detail
JU 8284	JU 8284	23/09/2026	18:45	18:45		ABU DHABI (AUH)	International	Scheduled	 Detail
NH 6642	NH 6642	23/09/2026	18:45	18:45		ABU DHABI (AUH)	International	Scheduled	 Detail
TK 2566	TK 2566	23/09/2026	18:45	18:45	 G7B	MUGLA (DLM)	Domestic	Scheduled	 Detail
TK 2596	TK 2596	23/09/2026	18:45	18:45	 G3H	ANTALYA (GZP)	Domestic	Scheduled	 Detail
TK 573	TK 573	23/09/2026	18:45	18:45		MOMBASA (MBA)	International	Scheduled	 Detail
TK 607	TK 607	23/09/2026	18:45	18:45		NAIROBI AREA (NBO)	International	Scheduled	 Detail
TK 826	TK 826	23/09/2026	18:45	18:45	 E3	MONT-LIBAN (BEY)	International	Scheduled
