Airline	Flight No	Date	Scheduled	Estimated	Gate	Arrival	Location	Status	Detail
TK 79	TK 79	23/09/2026	13:15	13:05	 D11	CALIFORNIA (SFO)	International	Scheduled	 Detail
TK 968	TK 968	23/09/2026	13:15	13:05	 A1G	LEFKOSIA (ECN)	International	Scheduled	 Detail
J2 76	J2 76	23/09/2026	13:10	13:10		BAKI (GYD)	International	Scheduled	 Detail
SQ 391	SQ 391	23/09/2026	13:10	13:10		SINGAPORE (SIN)	International	Scheduled	 Detail
TK 1849	TK 1849	23/09/2026	13:20	13:10	 F13B	ATTICA (ATH)	International	Scheduled	 Detail
TK 2720	TK 2720	23/09/2026	13:20	13:10	 G4A	IGDIR (IGD)	Domestic	Scheduled	 Detail
TK 382	TK 382	23/09/2026	13:20	13:10	 F13A	DIDI LILO (TBS)	International	Scheduled	 Detail
QB 2212	QB 2212	23/09/2026	13:15	13:15		TEHRAN (IKA)	International	Scheduled	 Detail
TK 1633	TK 1633	23/09/2026	13:15	13:15	 F12B	BAVARIA (MUC)	International	Scheduled	 Detail
TK 1985	TK 1985	23/09/2026	13:15	13:15	 D14	ENGLAND (LHR)	International	Scheduled	 Detail
TK 1345	TK 1345	23/09/2026	13:25	13:15	 A6B	SCOTLAND (EDI)	International	Scheduled	 Detail
SV 258	SV 258	23/09/2026	13:20	13:20		AL MADINAH AL MUNAWWARAH (MED)	International	Scheduled	 Detail
TK 1859	TK 1859	23/09/2026	13:30	13:20	 B15	MADRID (MAD)	International	Scheduled	 Detail
TK 2808	TK 2808	23/09/2026	13:30	13:20	 G8A	SAMSUN (SZF)	Domestic	Scheduled	 Detail
TK 1977	TK 1977	23/09/2026	13:25	13:25	 A5B	LEINSTER (DUB)	International	Scheduled	 Detail
HY 276	HY 276	23/09/2026	13:30	13:30		SAMARQAND (SKD)	International	Scheduled	 Detail
SU 657	SU 657	23/09/2026	13:30	13:30		KRASNODARSKIY (KRR)	International	Scheduled	 Detail
TK 2860	TK 2860	23/09/2026	13:35	13:35	 G2B	ISPARTA (ISE)	Domestic	Scheduled	 Detail
TK 1031	TK 1031	23/09/2026	13:45	13:35	 D5	SOFIA-CAPITAL (SOF)	International	Scheduled	 Detail
TK 2560	TK 2560	23/09/2026	13:45	13:35	 G9B	MUGLA (DLM)	Domestic	Scheduled	 Detail
EY 542	EY 542	23/09/2026	13:45	13:45		ABU DHABI (AUH)	International	Scheduled	 Detail
QR 240	QR 240	23/09/2026	13:45	13:45		BALADIYAT AD DAWHAH (DOH)	International	Scheduled	 Detail
RJ 166	RJ 166	23/09/2026	13:45	13:45		AMMAN (AMM)	International	Scheduled	 Detail
TK 2006	TK 2006	23/09/2026	13:55	13:45	 G10B	NEVSEHIR (NAV)	Domestic	Scheduled	 Detail
TK 537	TK 537	23/09/2026	13:55	13:45	 F6A	CENTRE (OUA)	International	Scheduled	 Detail
TK 2326	TK 2326	23/09/2026	14:00	13:50	 G1F	IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 2466	TK 2466	23/09/2026	14:00	13:50	 G6A	CASTELO BRANCO (COV)	International	Scheduled	 Detail
TK 448	TK 448	23/09/2026	14:00	13:50	 A5A	AKMOLA (NQZ)	International	Scheduled	 Detail
LH 1299	LH 1299	23/09/2026	13:55	13:55		HESSE (FRA)	International	Scheduled	 Detail
LO 134	LO 134	23/09/2026	13:55	13:55		MASOVIAN VOIVODESHIP (WAW)	International	Scheduled	 Detail
FQ 751	FQ 751	23/09/2026	14:00	14:00		TRIPOLI (MJI)	International	Scheduled	 Detail
MS 738	MS 738	23/09/2026	14:00	14:00		CAIRO (CAI)	International	Scheduled	 Detail
MU 704	MU 704	23/09/2026	14:00	14:00		SHANGHAI SHI (PVG)	International	Scheduled	 Detail
TK 2154	TK 2154	23/09/2026	14:00	14:00	 G5A	ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 629	TK 629	23/09/2026	14:00	14:00		GREATER ACCRA (ACC)	International	Scheduled	 Detail
W9 5328	W9 5328	23/09/2026	14:00	14:00		ENGLAND (LTN)	International	Scheduled	 Detail
YL 103	YL 103	23/09/2026	14:00	14:00		TRIPOLI (MJI)	International	Scheduled	 Detail
TK 1	TK 1	23/09/2026	14:10	14:00	 A3	NEW YORK (JFK)	International	Scheduled	 Detail
TK 1833	TK 1833	23/09/2026	14:10	14:00	 D1	PARIS (CDG)	International	Scheduled	 Detail
B2 784	B2 784	23/09/2026	14:05	14:05		MINSK (MSQ)	International	Scheduled	 Detail
TK 2034	TK 2034	23/09/2026	14:15	14:05	 G3J	KONYA (KYA)	Domestic	Scheduled	 Detail
G9 322	G9 322	23/09/2026	14:10	14:10		SHARJAH (SHJ)	International	Scheduled	 Detail
TK 1317	TK 1317	23/09/2026	14:10	14:10		BASQUE COUNTRY (BIO)	International	Scheduled	 Detail
TK 2668	TK 2668	23/09/2026	14:10	14:10	 G1G	SIRNAK (NKT)	Domestic	Scheduled	 Detail
B9 9711	B9 9711	23/09/2026	14:15	14:15		TEHRAN (IKA)	International	Scheduled	 Detail
TK 625	TK 625	23/09/2026	14:15	14:15	 A1F	LAGOS (LOS)	International	Scheduled	 Detail
TK 1997	TK 1997	23/09/2026	14:25	14:15	 F8A	ENGLAND (LGW)	International	Scheduled	 Detail
TK 2422	TK 2422	23/09/2026	14:25	14:15	 G4B	ANTALYA (AYT)	Domestic	Scheduled	 Detail
TK 978	TK 978	23/09/2026	14:25	14:15	 D2	LEFKOSIA (ECN)	International	Scheduled	 Detail
DP 770	DP 770	23/09/2026	12:35	14:20		KRASNODARSKIY (KRR)	International	Scheduled	 Detail
CZ 8066	CZ 8066	23/09/2026	14:20	14:20		GUANGZHOU (CAN)	International	Scheduled	 Detail
TK 1995	TK 1995	23/09/2026	14:20	14:20		ENGLAND (MAN)	International	Scheduled	 Detail
TK 2828	TK 2828	23/09/2026	14:30	14:20	 G7A	TRABZON (TZX)	Domestic	Scheduled	 Detail
TK 33	TK 33	23/09/2026	14:25	14:25	 A1G	GEORGE BUSH INTERCONTINENTAL AIRPORT (IAH)	International	Scheduled	 Detail
TK 2024	TK 2024	23/09/2026	14:35	14:25	 G1H	KAYSERI (ASR)	Domestic	Scheduled	 Detail
TK 415	TK 415	23/09/2026	14:35	14:25	 A1E	MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
J2 176	J2 176	23/09/2026	14:30	14:30		BAKI (GYD)	International	Scheduled	 Detail
TK 1079	TK 1079	23/09/2026	14:30	14:30	 F3B	CENTRAL SERBIA (BEG)	International	Scheduled	 Detail
TK 126	TK 126	23/09/2026	14:30	14:30	 F9A	MAKKAH (JED)	International	Scheduled	 Detail
TK 1969	TK 1969	23/09/2026	14:30	14:30	 F3A	ENGLAND (BHX)	International	Scheduled	 Detail
TK 9	TK 9	23/09/2026	14:30	14:30	 A1J	LOS ANGELES (LAX)	International	Scheduled	 Detail
TK 2694	TK 2694	23/09/2026	14:40	14:30	 G4A	MUS (MSR)	Domestic	Scheduled	 Detail
TK 2750	TK 2750	23/09/2026	14:40	14:30	 G2B	VAN (VAN)	Domestic	Scheduled	 Detail
TK 1243	TK 1243	23/09/2026	14:50	14:40	 F5A	ENGLAND (STN)	International	Scheduled	 Detail
TK 1971	TK 1971	23/09/2026	14:50	14:40	 D15	ENGLAND (LHR)	International	Scheduled	 Detail
4O 401	4O 401	23/09/2026	14:45	14:45		TIVAT (TIV)	International	Scheduled	 Detail
TK 191	TK 191	23/09/2026	14:45	14:45	 D9	TEXAS (DFW)	International	Scheduled	 Detail
TK 2742	TK 2742	23/09/2026	14:45	14:45	 G9A	ZONGULDAK (ONQ)	Domestic	Scheduled	 Detail
TK 31	TK 31	23/09/2026	14:45	14:45	 A4A	ATLANTA (ATL)	International	Scheduled	 Detail
TK 5	TK 5	23/09/2026	14:45	14:45	 D8	ILLINOIS (ORD)	International	Scheduled	 Detail
TK 903	TK 903	23/09/2026	14:55	14:45	 A1D	PANAMA (PTY)	International	Scheduled	 Detail
TK 1391	TK 1391	23/09/2026	15:00	14:50		AQUITAINE (BOD)	International	Scheduled	 Detail
TK 1795	TK 1795	23/09/2026	15:00	14:50		STOCKHOLM (ARN)	International	Scheduled	 Detail
TK 1855	TK 1855	23/09/2026	15:00	14:50	 A1H	CATALONIA (BCN)	International	Scheduled	 Detail
TK 2328	TK 2328	23/09/2026	15:00	14:50	 G8B	IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 653	TK 653	23/09/2026	15:00	14:50	 F4B	ALGER (ALG)	International	Scheduled	 Detail
TK 1753	TK 1753	23/09/2026	14:55	14:55		AKERSHUS (OSL)	International	Scheduled	 Detail
TK 1953	TK 1953	23/09/2026	14:55	14:55	 A1C	NORTH HOLLAND (AMS)	International	Scheduled	 Detail
TK 205	TK 205	23/09/2026	14:55	14:55	 D11	MICHIGAN (DTW)	International	Scheduled	 Detail
CA 860	CA 860	23/09/2026	15:00	15:00		BEIJING CAPITAL INTERNATIONAL AIRPORT (PEK)	International	Scheduled	 Detail
NB 302	NB 302	23/09/2026	15:00	15:00		BANGHAZI (BEN)	International	Scheduled	 Detail
TK 1147	TK 1147	23/09/2026	15:00	15:00		MISRATAH (MRA)	International	Scheduled	 Detail
TK 1313	TK 1313	23/09/2026	15:00	15:00		MANISES (VLC)	International	Scheduled	 Detail
TK 203	TK 203	23/09/2026	15:00	15:00	 D10	WASHINGTON (SEA)	International	Scheduled	 Detail
TK 2158	TK 2158	23/09/2026	15:00	15:00	 G6B	ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 1527	TK 1527	23/09/2026	15:05	15:05	 F18	DUSSELDORF (DUS)	International	Scheduled	 Detail
TK 1763	TK 1763	23/09/2026	15:05	15:05	 F13B	HELSINKI (HEL)	International	Scheduled	 Detail
TK 2230	TK 2230	23/09/2026	15:15	15:05	 G5B	GAZIANTEP (GZT)	Domestic	Scheduled	 Detail
TK 35	TK 35	23/09/2026	15:15	15:05	 D14	QUEBEC (YUL)	International	Scheduled	 Detail
HH 576	HH 576	23/09/2026	15:10	15:10		TOSHKENT SHAHRI (TAS)	International	Scheduled	 Detail
TK 2424	TK 2424	23/09/2026	15:10	15:10	 G7B	ANTALYA (AYT)	Domestic	Scheduled	 Detail
TK 77	TK 77	23/09/2026	15:20	15:10	 B5	FLORIDA (MIA)	International	Scheduled	 Detail
DP 996	DP 996	23/09/2026	15:15	15:15		MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
TK 623	TK 623	23/09/2026	15:15	15:15		ABUJA FEDERAL CAPITAL TERRITORY (ABV)	International	Scheduled	 Detail
TK 1333	TK 1333	23/09/2026	15:25	15:15		BREMEN (BRE)	International	Scheduled	 Detail
TK 280	TK 280	23/09/2026	15:20	15:20	 A1B	SHANGHAI SHI (PVG)	International	Scheduled	 Detail
TK 663	TK 663	23/09/2026	15:20	15:20	 A5A	ARIANA (TUN)	International	Scheduled	 Detail
TK 1827	TK 1827	23/09/2026	15:30	15:20	 A1G	PARIS (CDG)	International	Scheduled	 Detail
BT 712	BT 712	23/09/2026	15:25	15:25		BABITE (RIX)	International	Scheduled	 Detail
SV 256	SV 256	23/09/2026	15:25	15:25		MAKKAH (JED)	International	Scheduled	 Detail
TK 1939	TK 1939	23/09/2026	15:25	15:25	 D16	FLANDERS (BRU)	International	Scheduled	 Detail
TK 1663	TK 1663	23/09/2026	15:35	15:25	 F13A	HAMBURG (HAM)	International	Scheduled	 Detail
TK 1593	TK 1593	23/09/2026	15:30	15:30	 C3	HESSE (FRA)	International	Scheduled	 Detail
TK 1367	TK 1367	23/09/2026	15:40	15:30		PROVENCE-ALPES-COTE D'AZUR (MRS)	International	Scheduled	 Detail
A3 993	A3 993	23/09/2026	15:35	15:35		ATTICA (ATH)	International	Scheduled	 Detail
TK 1809	TK 1809	23/09/2026	15:35	15:35		RHONE-ALPES (LYS)	International	Scheduled	 Detail
3U 3828	3U 3828	23/09/2026	15:40	15:40		SICHUAN (TFU)	International	Scheduled	 Detail
TK 1139	TK 1139	23/09/2026	15:50	15:40		TRIPOLI (MJI)	International	Scheduled	 Detail
TK 174	TK 174	23/09/2026	15:50	15:40	 A1A	NEGERI SEMBILAN (KUL)	International	Scheduled	 Detail
TK 1875	TK 1875	23/09/2026	15:50	15:40	 B10	LOMBARDY (MXP)	International	Scheduled	 Detail
BA 719	BA 719	23/09/2026	15:45	15:45		ENGLAND (LHR)	International	Scheduled	 Detail
BT 423	BT 423	23/09/2026	15:45	15:45		CENTRAL SERBIA (BEG)	International	Scheduled	 Detail
GF 44	GF 44	23/09/2026	15:45	15:45		MUHARRAQ (BAH)	International	Scheduled	 Detail
TS 215	TS 215	23/09/2026	15:45	15:45		ONTARIO (YYZ)	International	Scheduled	 Detail
UX 1684	UX 1684	23/09/2026	15:45	15:45		MADRID (MAD)	International	Scheduled	 Detail
XY 2986	XY 2986	23/09/2026	15:45	15:45		AL-QASSIM (ELQ)	International	Scheduled	 Detail
TK 1919	TK 1919	23/09/2026	15:55	15:45		GENEVA (GVA)	International	Scheduled	 Detail
TK 362	TK 362	23/09/2026	15:55	15:45		TOSHKENT SHAHRI (TAS)	International	Scheduled	 Detail
SU 2137	SU 2137	23/09/2026	15:50	15:50		MOSCOW (SVO)	International	Scheduled	 Detail
TK 1311	TK 1311	23/09/2026	15:50	15:50		PIEDMONT (TRN)	International	Scheduled	 Detail
TK 1705	TK 1705	23/09/2026	15:50	15:50		BADEN-WUERTTEMBERG (STR)	International	Scheduled	 Detail
TK 1909	TK 1909	23/09/2026	15:50	15:50	 F8A	ZURICH (ZRH)	International	Scheduled	 Detail
TK 298	TK 298	23/09/2026	15:50	15:50	 A9	GUANGZHOU (CAN)	International	Scheduled	 Detail
TK 50	TK 50	23/09/2026	15:50	15:50	 B12	CHIBA (NRT)	International	Scheduled	 Detail
TK 58	TK 58	23/09/2026	15:50	15:50	 B14	BANGKOK (BKK)	International	Scheduled	 Detail
TK 7	TK 7	23/09/2026	15:50	15:50	 B7	VIRGINIA (IAD)	International	Scheduled	 Detail
TK 2162	TK 2162	23/09/2026	16:00	15:50	 G11A	ANKARA (ESB)	Domestic	Scheduled	 Detail
TK 566	TK 566	23/09/2026	16:00	15:50	 C2	ARUSHA (JRO)	International	Scheduled	 Detail
TK 1097	TK 1097	23/09/2026	15:55	15:55		TIVAT (TIV)	International	Scheduled	 Detail
TK 1675	TK 1675	23/09/2026	15:55	15:55		NORTH RHINE-WESTPHALIA (CGN)	International	Scheduled	 Detail
TK 1925	TK 1925	23/09/2026	16:05	15:55		BASEL (BSL)	International	Scheduled	 Detail
TK 1505	TK 1505	23/09/2026	16:00	16:00		BAVARIA (NUE)	International	Scheduled	 Detail
TK 1555	TK 1555	23/09/2026	16:00	16:00	 F7A	LOWER SAXONY (HAJ)	International	Scheduled	 Detail
TK 1775	TK 1775	23/09/2026	16:00	16:00	 B6A	BABITE (RIX)	International	Scheduled	 Detail
TK 1785	TK 1785	23/09/2026	16:00	16:00	 C1	CAPITAL REGION (CPH)	International	Scheduled	 Detail
TK 196	TK 196	23/09/2026	16:00	16:00	 D6	BEIJING CAPITAL INTERNATIONAL AIRPORT (PEK)	International	Scheduled	 Detail
TK 2330	TK 2330	23/09/2026	16:00	16:00	 G9A	IZMIR (ADB)	Domestic	Scheduled	 Detail
TK 334	TK 334	23/09/2026	16:00	16:00	 B9B	BAKI (GYD)	International	Scheduled	 Detail
UD 162	UD 162	23/09/2026	16:00	16:00		MAYORALITY OF BAGHDAD (BGW)	International	Scheduled	 Detail
TK 2086	TK 2086	23/09/2026	16:10	16:00	 G8B	NEVSEHIR (NAV)	Domestic	Scheduled	 Detail
TK 124	TK 124	23/09/2026	16:05	16:05	 A4D	TAIWAN (TPE)	International	Scheduled	 Detail
TK 2018	TK 2018	23/09/2026	16:05	16:05	 G2B	KAYSERI (ASR)	Domestic	Scheduled	 Detail
TK 2468	TK 2468	23/09/2026	16:05	16:05	 G5A	CASTELO BRANCO (COV)	International	Scheduled	 Detail
B9 9745	B9 9745	23/09/2026	16:10	16:10		ISFAHAN (IFN)	International	Scheduled	 Detail
DP 994	DP 994	23/09/2026	16:10	16:10		MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
S7 3750	S7 3750	23/09/2026	16:10	16:10		MOSKOVSKAYA (DME)	International	Scheduled	 Detail
TK 1723	TK 1723	23/09/2026	16:10	16:10		BERLIN (BER)	International	Scheduled	 Detail
TK 2562	TK 2562	23/09/2026	16:10	16:10	 G1H	MUGLA (DLM)	Domestic	Scheduled	 Detail
TO 3289	TO 3289	23/09/2026	16:10	16:10		ILE-DE-FRANCE (ORY)	International	Scheduled	 Detail
TK 2516	TK 2516	23/09/2026	16:20	16:10	 G10A	MUGLA (BJV)	Domestic	Scheduled	 Detail
TK 170	TK 170	23/09/2026	16:15	16:15		TUEN MUN (HKG)	International	Scheduled	 Detail
A4 6076	A4 6076	23/09/2026	16:20	16:20		STAVROPOL'SKIY (MRV)	International	Scheduled	 Detail
TK 1815	TK 1815	23/09/2026	16:20	16:20	 F12A	PROVENCE-ALPES-COTE D'AZUR (NCE)	International	Scheduled	 Detail
TK 2832	TK 2832	23/09/2026	16:20	16:20	 G4B	TRABZON (TZX)	Domestic	Scheduled	 Detail
TK 559	TK 559	23/09/2026	16:20	16:20		LITTORAL (COO)	International	Scheduled	 Detail
TK 966	TK 966	23/09/2026	16:20	16:20	 B8A	LEFKOSIA (ECN)	International	Scheduled	 Detail
TK 2708	TK 2708	23/09/2026	16:30	16:20		ERZURUM (ERZ)	Domestic	Scheduled	 Detail
AH 3017	AH 3017	23/09/2026	16:25	16:25		ALGER (ALG)	International	Scheduled	 Detail
EK 124	EK 124	23/09/2026	16:25	16:25		DUBAI (DXB)	International	Scheduled	 Detail
SV 264	SV 264	23/09/2026	16:25	16:25		AR RIYAD (RUH)	International	Scheduled	 Detail
TK 2426	TK 2426	23/09/2026	16:35	16:25	 G6B	ANTALYA (AYT)	Domestic	Scheduled	 Detail
TG 901	TG 901	23/09/2026	16:30	16:30		BANGKOK (BKK)	International	Scheduled	 Detail
TK 1635	TK 1635	23/09/2026	16:30	16:30	 D4	BAVARIA (MUC)	International	Scheduled	 Detail
TK 326	TK 326	23/09/2026	16:30	16:30	 F4A	AHAL (ASB)	International	Scheduled	 Detail
TK 1409	TK 1409	23/09/2026	16:35	16:35		VILNIUS COUNTY (VNO)	International	Scheduled	 Detail
TK 1325	TK 1325	23/09/2026	16:40	16:40	 A1E	EMILIA-ROMAGNA (BLQ)	International	Scheduled	 Detail
TK 17	TK 17	23/09/2026	16:40	16:40	 D15	ONTARIO (YYZ)	International	Scheduled	 Detail
TK 81	TK 81	23/09/2026	16:40	16:40	 D8	MASSACHUSETTS (BOS)	International	Scheduled	 Detail
W4 2592	W4 2592	23/09/2026	16:40	16:40		HAJDU-BIHAR (DEB)	International	Scheduled	 Detail
TK 62	TK 62	23/09/2026	16:50	16:40	 D14	NEGERI SEMBILAN (KUL)	International	Scheduled	 Detail
TK 1769	TK 1769	23/09/2026	16:45	16:45		CENTRAL BOHEMIA (PRG)	International	Scheduled	 Detail
TK 1383	TK 1383	23/09/2026	16:55	16:45	 D3	SALZBURG (SZG)	International	Scheduled	 Detail
TK 1765	TK 1765	23/09/2026	16:50	16:50		MASOVIAN VOIVODESHIP (WAW)	International	Scheduled	 Detail
TK 384	TK 384	23/09/2026	17:00	16:50	 A1E	DIDI LILO (TBS)	International	Scheduled	 Detail
SU 2173	SU 2173	23/09/2026	16:55	16:55		MOSCOW (SVO)	International	Scheduled	 Detail
TK 1521	TK 1521	23/09/2026	16:55	16:55	 B8B	DUSSELDORF (DUS)	International	Scheduled	 Detail
TK 1863	TK 1863	23/09/2026	16:55	16:55		LATIUM (FCO)	International	Scheduled	 Detail
FV 6964	FV 6964	23/09/2026	17:00	17:00		ST. PETERSBURG (LED)	International	Scheduled	 Detail
TK 1887	TK 1887	23/09/2026	17:00	17:00	 B16	LOWER AUSTRIA (VIE)	International	Scheduled	 Detail
TK 2332	TK 2332	23/09/2026	17:00	17:00	 G6A	IZMIR (ADB)	Domestic	Scheduled	 Detail
